Lake,Species,Code,Group,Class,Depth,d13C,d15N,%C,%N,C/N
Vuontis,burbot,07VB14,Pisc,Fish,NA,-24.3,9.5,46.1,13.6,3.4
Vuontis,burbot,07VB15,Pisc,Fish,NA,-25.3,9.7,47,13.7,3.4
Vuontis,burbot,07VB16,Pisc,Fish,NA,-22.6,8.5,46.4,13.5,3.4
Vuontis,burbot,07VB17,Pisc,Fish,NA,-23.5,9.6,44.8,13.5,3.3
Vuontis,burbot,07VB18,Pisc,Fish,NA,-23.8,9.9,48.1,14,3.4
Vuontis,pike,07VP1,Pisc,Fish,NA,-26.2,9.7,46.9,13.4,3.5
Vuontis,Chironomidae,ChiroL,BMI,Litt,1,-15.3,2.3,46.8,8.7,5.7
Vuontis,Chironomidae,ChiroL,BMI,Litt,2,-16,2.5,47,8.4,5.4
Vuontis,Chironomidae,ChiroL,BMI,Litt,3,-18.1,4.7,47.6,8.9,4.6
Vuontis,Chironomidae,ChiroL,BMI,Litt,5,-26.5,2.2,45.1,10,5
Vuontis,Chironomidae,ChiroL,BMI,Prof,10,-30.6,4,46.3,9.6,4.9
Vuontis,Chironomidae,ChiroL,BMI,Prof,20,-32.2,4.3,45.9,8.7,14.4
Vuontis,Chironomidae,ChiroL,BMI,Prof,30,-34,4.8,47.1,10.4,4.3
Vuontis,Chironomidae,ChiroL,BMI,Prof,15,-34.6,4.1,43.9,9.7,5.1
Vuontis,Corixidae,Divingbeetlelarvae,BMI,Litt,1,-14.6,2.8,54.6,9.7,4.5
Vuontis,Corixidae,Divingbeetlelarvae,BMI,Litt,2,-19.2,3.5,54.7,9.8,4.5
Vuontis,Ephemeroptera,Mayfly,BMI,Litt,2,-16.6,0.6,48.1,9.4,6.1
Vuontis,pike,07VP2,Pisc,Fish,NA,-25.4,8.3,49.5,8.7,3.5
Vuontis,pike,07VP3,Pisc,Fish,NA,-24.6,8.3,50.7,10.1,3.5
Vuontis,pike,07VP4,Pisc,Fish,NA,-24.9,9.4,46.8,11.3,3.5
Vuontis,pike,07VP5,Pisc,Fish,NA,-24.9,8.6,53.5,9.4,3.4
Vuontis,pike,07VP6,Pisc,Fish,NA,-25.1,8.3,44.3,9.9,3.5
Vuontis,pike,07VP7,Pisc,Fish,NA,-25.7,8.8,46.6,10.7,3.5
Vuontis,pike,07VP8,Pisc,Fish,NA,-25.2,9.3,46.9,10.8,3.4
Vuontis,pike,07VP9,Pisc,Fish,NA,-26.2,9.5,47.2,10.7,3.4
Vuontis,Hirudinea,Hirudinea,BMI,Litt,5,-24.6,3.7,46.2,10.6,4.4
