"ID","d_13C","d_15N","d_2H","organism","location","month","tissue"
"A-22-09-L",-27.73,7.08,-115.2,"smallmouth bass","lake","may","liver"
"A-22-09-M",-26.28,7.15,-108.79,"smallmouth bass","lake","may","muscle"
"A-22-10-L",-29.14,7.83,-114.86,"smallmouth bass","lake","may","liver"
"A-22-10-M",-27.47,8.43,-110.07,"smallmouth bass","lake","may","muscle"
"A-22-11-L",-31.26,6,-109.12,"smallmouth bass","lake","may","liver"
"A-22-11-M",-29.23,7.29,-103.33,"smallmouth bass","lake","may","muscle"
"A-A22-01-L",-27.37,6.28,-122.88,"smallmouth bass","lake","august","liver"
"A-A22-01-M",-26.46,6.9,-102.22,"smallmouth bass","lake","august","muscle"
"A-A22-02-L",-28.57,6.26,-122.92,"smallmouth bass","lake","august","liver"
"A-A22-02-M",-28.67,6.63,-107.35,"smallmouth bass","lake","august","muscle"
"A-A22-03-L",-27.88,6.23,-111.89,"smallmouth bass","lake","august","liver"
"A-A22-03-M",-26.23,7.2,-89.3127499,"smallmouth bass","lake","august","muscle"
"A-A22-04-L",-29.62,5.82,-125.01,"smallmouth bass","lake","august","liver"
"A-A22-04-M",-27.8,6.51,-106.05,"smallmouth bass","lake","august","muscle"
"A-A22-05-L",-28.22,6.17,-126.76,"smallmouth bass","lake","august","liver"
"A-A22-05-M",-26.71,7.27,-102.09,"smallmouth bass","lake","august","muscle"
"A-A22-06-L",-28.54,6.95,-120.03,"smallmouth bass","lake","august","liver"
"A-A22-06-M",-26.44,7.42,-104.17,"smallmouth bass","lake","august","muscle"
"A-A22-07-L",-29.82,6.9,-116.67,"smallmouth bass","lake","august","liver"
"A-A22-07-M",-28.37,8.27,-100.33,"smallmouth bass","lake","august","muscle"
"A-A22-08-L",-30.63,5.55,-124.21,"smallmouth bass","lake","august","liver"
"A-A22-08-M",-29.94,6.54,-114.63,"smallmouth bass","lake","august","muscle"
"A-A22-09-L",-30.06,6.42,-122.45,"smallmouth bass","lake","august","liver"
"A-A22-09-M",-27.82,6.83,-111.84,"smallmouth bass","lake","august","muscle"
"A-A22-10-L",-28.75,5.87,-110.79,"smallmouth bass","lake","august","liver"
"A-A22-10-M",-27.19,7.17,-105.57,"smallmouth bass","lake","august","muscle"
"FU-22-07-L",-29.84,7.77,-120.61,"smallmouth bass","creek","may","liver"
"FU-22-07-M",-26.88,6.46,-116.72,"smallmouth bass","creek","may","muscle"
"FU-22-08-L",-28.38,7.05,-119.58,"smallmouth bass","creek","may","liver"
"FU-22-08-M",-27.79,6.56,-111.13,"smallmouth bass","creek","may","muscle"
"OP1-S22-700-L",-28.93,3.04,-159.17,"yellow perch","lake","october","liver"
"OP1-S22-700-M",-27.78,5.26,-120.75,"yellow perch","lake","october","muscle"
"OP5-S22-701-L",-30.83,5.56,-130.68,"yellow perch","lake","october","liver"
"OP5-S22-701-M",-28.65,6.46,-108.69,"yellow perch","lake","october","muscle"
"WD-A22-11-L",-33.43,6.39,-136.65,"yellow perch","creek","august","liver"
"WD-A22-11-M",-31.43,6.74,-90.31,"yellow perch","creek","august","muscle"
"WD-A22-12-L",-29.23,5.56,-144.8885331,"yellow perch","creek","august","liver"
"WD-A22-12-M",-26.85,6.32,-108.2010742,"yellow perch","creek","august","muscle"
"WD-A22-14-M",-30.83,6.62,-99.55,"yellow perch","creek","august","muscle"
"WD-S22-702-L",-32.32,6.76,-118.6,"yellow perch","creek","october","liver"
"WD-S22-702-M",-29.47,7.38,-111.79,"yellow perch","creek","october","muscle"
